Date,Groupe,Passage,Clarté de la définition,Pertinence de l’exemple choisi, Lisibilité du pseudo code,Qualité du support,Qualité du discours oral,Motivation de la stratégie,Remarque libre
02/02/2021 14:01:59,4,1,3,4,5,5,2,6,
02/02/2021 14:02:11,4,1,3,4,3,3,2,3,
02/02/2021 14:02:07,4,1,4,6,5,6,3,4,Un peu de mal dans son discours oral mais exemple pertinent
02/02/2021 14:02:15,4,1,5,3,4,4,2,4,
02/02/2021 14:02:20,4,1,6,6,6,6,6,6,
02/02/2021 14:02:28,4,1,6,6,6,6,6,6,
02/02/2021 14:02:38,4,1,5,5,5,5,4,5,
02/02/2021 14:02:41,4,1,6,6,6,6,6,6,
02/02/2021 14:03:42,4,1,6,6,6,6,6,6,
02/02/2021 14:03:49,4,1,6,6,6,6,6,6,
02/02/2021 14:05:09,4,1,6,6,6,6,6,6,
02/02/2021 14:07:39,4,1,6,6,6,6,6,6,
02/02/2021 14:10:37,4,1,6,6,6,6,6,6,
02/02/2021 14:12:50,4,1,6,6,6,6,6,6,
02/02/2021 14:13:12,4,1,6,6,6,6,6,6,
02/02/2021 14:22:34,4,1,5,6,6,6,5,5,
02/02/2021 14:23:31,4,1,6,6,6,6,6,6,
02/02/2021 14:25:50,4,1,5,5,6,6,4,5,
02/02/2021 14:41:18,4,1,6,6,6,6,6,6,Rapide mais trop claire merci
02/02/2021 14:01:49,5,1,1,1,1,1,1,1,
02/02/2021 14:02:40,5,1,1,1,1,1,1,1,
02/02/2021 14:02:53,5,1,1,1,1,1,1,1,
02/02/2021 14:02:54,5,1,6,6,6,6,6,6,
02/02/2021 14:03:22,5,1,1,1,1,1,1,1,
02/02/2021 14:03:32,5,1,1,1,1,1,1,1,
02/02/2021 14:03:47,5,1,5,5,6,4,5,5,
02/02/2021 14:03:51,5,1,6,6,6,6,6,6,Impec
02/02/2021 14:04:21,5,1,1,1,1,1,1,1,
02/02/2021 14:04:51,5,1,6,6,6,6,6,6,
02/02/2021 14:05:15,5,1,6,6,6,6,5,5,
02/02/2021 14:05:16,5,1,6,6,6,6,6,6,
02/02/2021 14:05:20,5,1,1,1,1,1,1,1,
02/02/2021 14:05:26,5,1,6,6,6,6,6,6,Superbe
02/02/2021 14:05:26,5,1,5,4,5,5,5,5,
02/02/2021 14:05:28,5,1,3,3,3,3,3,3,
02/02/2021 14:05:31,5,1,5,5,5,5,5,5,
02/02/2021 14:05:34,5,1,5,6,3,6,4,6,
02/02/2021 14:05:34,5,1,6,6,6,6,6,6,
02/02/2021 14:05:51,5,1,5,5,4,5,5,5,
02/02/2021 14:06:04,5,1,6,6,6,6,6,6,"Premier groupe avec une formule mathématique définie
Code python simple et efficace
Exemple bien présenté et fort parlant
Présentation des avantages et inconvénients pertinente"
02/02/2021 14:06:04,5,1,4,5,4,6,5,5,
02/02/2021 14:06:09,5,1,1,1,1,1,1,1,
02/02/2021 14:06:11,5,1,6,6,6,6,6,6,
02/02/2021 14:06:15,5,1,4,4,4,4,4,4,
02/02/2021 14:06:16,5,1,5,4,4,5,4,4,
02/02/2021 14:06:20,5,1,4,4,4,4,4,4,
02/02/2021 14:06:20,5,1,6,6,6,6,6,6,
02/02/2021 14:06:22,5,1,6,6,5,6,6,4,"L'interpolation linéaire présente beaucoup de défauts, donc cela ne me motive pas à l'utiliser. En revanche, l'explication était claire, et les exemples concrets."
02/02/2021 14:06:31,5,1,5,5,5,5,5,5,
02/02/2021 14:06:40,5,1,6,6,6,6,6,6,
02/02/2021 14:06:54,5,1,6,6,6,6,6,6,
02/02/2021 14:06:55,5,1,4,6,5,5,4,5,
02/02/2021 14:07:03,5,1,5,5,3,5,4,5,
02/02/2021 14:07:18,5,1,6,6,6,6,6,6,
02/02/2021 14:07:26,5,1,6,6,6,6,6,6,
02/02/2021 14:07:43,5,1,6,6,5,6,5,6,
02/02/2021 14:08:21,5,1,4,4,3,5,4,5,
02/02/2021 14:08:37,5,1,3,3,3,3,3,3,
02/02/2021 14:10:06,5,1,2,2,2,2,2,2,
02/02/2021 14:12:00,5,1,1,1,1,1,1,1,
02/02/2021 14:12:22,5,1,1,1,1,1,1,1,
02/02/2021 14:12:29,5,1,3,3,3,3,3,3,
02/02/2021 14:13:37,5,1,6,6,6,6,6,6,
02/02/2021 14:15:10,5,1,6,6,6,6,6,6,
02/02/2021 14:17:38,5,1,6,6,6,6,6,6,
02/02/2021 14:27:05,5,1,4,3,4,3,4,3,
02/02/2021 14:27:32,5,1,6,6,6,6,5,6,"Super clair, j'aurai pas fait mieux !"
02/02/2021 14:54:34,5,1,3,4,5,4,3,4,
02/02/2021 14:06:25,6,1,6,6,6,6,6,6,
02/02/2021 14:06:39,6,1,1,1,1,1,1,1,
02/02/2021 14:07:06,6,1,6,6,5,5,5,5,
02/02/2021 14:07:38,6,1,1,1,1,1,1,1,
02/02/2021 14:09:01,6,1,2,2,2,2,2,2,
02/02/2021 14:09:25,6,1,4,4,5,5,5,3,
02/02/2021 14:09:26,6,1,5,5,5,5,5,5,
02/02/2021 14:09:27,6,1,3,3,3,3,3,3,
02/02/2021 14:09:30,6,1,6,6,6,6,6,6,
02/02/2021 14:09:41,6,1,4,3,3,3,3,1,
02/02/2021 14:09:52,6,1,1,1,1,1,1,1,
02/02/2021 14:09:57,6,1,5,5,4,4,6,5,
